Seller,Origin Amount,Origin Amount Unit,Product Amount,Product Amount Unit,Destination Amount,Destination Amount Unit,Shipped Date,Received Date,Created Date,Assignment Status,Shipped From,Transaction ID
Atlantic Seafood Market,320,lb,320,lb,320,lb,,09-13-25 09:15,09-13-25 09:15,100,210 Water Street, New York 10038, United States,68c41001a26ed3327467f101
Atlantic Seafood Market,140,lb,140,lb,140,lb,,09-13-25 09:15,09-13-25 09:15,100,210 Water Street, New York 10038, United States,68c41001a26ed3327467f102
Green Valley Produce,500,lb,480,lb,480,lb,,09-13-25 10:02,09-13-25 10:02,100,89 Market Street, Newark 07102, United States,68c41001a26ed3327467f103
Green Valley Produce,220,lb,220,lb,-,-,,09-13-25 10:02,09-13-25 10:02,0,89 Market Street, Newark 07102, United States,68c41001a26ed3327467f104
Urban Fresh Grocers,275,lb,275,lb,275,lb,,09-12-25 16:20,09-12-25 16:20,100,455 Hudson Street, New York 10014, United States,68c41001a26ed3327467f105
Urban Fresh Grocers,190,lb,190,lb,190,lb,,09-12-25 16:20,09-12-25 16:20,100,455 Hudson Street, New York 10014, United States,68c41001a26ed3327467f106
Harborview Fish Co,360,lb,350,lb,350,lb,,09-12-25 14:48,09-12-25 14:48,100,12 Harbor Drive, Jersey City 07305, United States,68c41001a26ed3327467f107
Harborview Fish Co,120,lb,120,lb,120,lb,,09-12-25 14:48,09-12-25 14:48,100,12 Harbor Drive, Jersey City 07305, United States,68c41001a26ed3327467f108
Midtown Supply Hub,410,lb,410,lb,410,lb,,09-11-25 18:05,09-11-25 18:05,100,620 8th Avenue, New York 10018, United States,68c41001a26ed3327467f109
Midtown Supply Hub,95,lb,95,lb,95,lb,,09-11-25 18:05,09-11-25 18:05,100,620 8th Avenue, New York 10018, United States,68c41001a26ed3327467f110
